Epoch,MTCNN+FaceNet,SCRFD+ArcFace,Improvement,Improvement (%)
1,0.8857,0.959,0.07329999999999992,8.275939934515064
2,0.9452,0.9763,0.031099999999999905,3.290308929327116
3,0.939,0.9866,0.04760000000000009,5.069222577209807
4,0.9492,0.9931,0.04389999999999994,4.6249473240623615
6,0.9012,0.9884,0.08719999999999994,9.675987572126047
7,0.9675,0.9877,0.020199999999999996,2.0878552971576223
8,0.93,0.9896,0.059599999999999986,6.408602150537633
9,0.9399,0.9848,0.04490000000000005,4.777103947228435
10,0.948,0.9464,-0.0015999999999999348,-0.16877637130801001
